dir,speed,prob
100,5.1,7.11E-06
100,4.4,7.11E-06
100,3.8,7.11E-06
100,3.4,7.11E-06
140,4,7.11E-06
300,10.1,7.11E-06
310,11.4,7.11E-06
300,11.4,7.11E-06
300,12.1,7.11E-06
300,11.7,7.11E-06
300,12,7.11E-06
300,12.1,7.11E-06
300,12.1,7.11E-06
300,11.5,7.11E-06
300,10.8,7.11E-06
310,11.7,7.11E-06
310,12.7,7.11E-06
310,12.2,7.11E-06
310,11.1,7.11E-06
310,10,7.11E-06
310,9.8,7.11E-06
310,9.5,7.11E-06
310,9.7,7.11E-06
300,9.2,7.11E-06
310,8.2,7.11E-06
310,7.9,7.11E-06
310,7.7,7.11E-06
310,8.1,7.11E-06
310,7.7,7.11E-06
300,8.3,7.11E-06
300,7.9,7.11E-06
300,7.4,7.11E-06
300,7.4,7.11E-06
290,9,7.11E-06
290,8.8,7.11E-06
280,8.3,7.11E-06
290,8.6,7.11E-06
280,7.6,7.11E-06
290,7.2,7.11E-06
290,7.8,7.11E-06
290,8,7.11E-06
280,8.6,7.11E-06
290,8.9,7.11E-06
290,9.1,7.11E-06
280,9.4,7.11E-06
290,10.3,7.11E-06
290,10,7.11E-06
290,10.5,7.11E-06
290,10.6,7.11E-06
290,10.4,7.11E-06
290,10,7.11E-06
290,10.1,7.11E-06
290,9.9,7.11E-06
290,10.1,7.11E-06
290,10.4,7.11E-06
290,10.3,7.11E-06
290,10.7,7.11E-06
300,10.4,7.11E-06
290,11.2,7.11E-06
290,10.9,7.11E-06
300,10.4,7.11E-06
290,10.3,7.11E-06
290,10.5,7.11E-06
300,10.7,7.11E-06
300,11.2,7.11E-06
300,11,7.11E-06
300,10.3,7.11E-06
290,9.3,7.11E-06
300,9.8,7.11E-06
300,10.1,7.11E-06
290,9.7,7.11E-06
300,9.7,7.11E-06
310,9.2,7.11E-06
300,8.4,7.11E-06
310,8.3,7.11E-06
310,8.7,7.11E-06
310,8.3,7.11E-06
310,7,7.11E-06
310,7.6,7.11E-06
320,7.4,7.11E-06
310,6.5,7.11E-06
310,6.3,7.11E-06
310,6.1,7.11E-06
300,5.8,7.11E-06
290,6.8,7.11E-06
300,7.2,7.11E-06
290,6.8,7.11E-06
290,6.9,7.11E-06
290,6.9,7.11E-06
290,6.9,7.11E-06
280,6,7.11E-06
290,6.1,7.11E-06
290,6.1,7.11E-06
290,6.2,7.11E-06
